,pearson_ic,spearman_ic,ic_cumsum
2024-01-01 17:00:00+00:00,,,0.0
2024-01-02 05:00:00+00:00,,,0.0
2024-01-02 17:00:00+00:00,,,0.0
2024-01-03 05:00:00+00:00,,,0.0
2024-01-03 17:00:00+00:00,,,0.0
2024-01-04 05:00:00+00:00,,,0.0
2024-01-04 17:00:00+00:00,,,0.0
2024-01-05 05:00:00+00:00,,,0.0
2024-01-05 17:00:00+00:00,,,0.0
2024-01-06 05:00:00+00:00,,,0.0
2024-01-06 17:00:00+00:00,,,0.0
2024-01-07 05:00:00+00:00,,,0.0
2024-01-07 17:00:00+00:00,,,0.0
2024-01-08 05:00:00+00:00,,,0.0
2024-01-08 17:00:00+00:00,,,0.0
2024-01-09 05:00:00+00:00,,,0.0
2024-01-09 17:00:00+00:00,,,0.0
2024-01-10 05:00:00+00:00,,,0.0
2024-01-10 17:00:00+00:00,,,0.0
2024-01-11 05:00:00+00:00,,,0.0
2024-01-11 17:00:00+00:00,,,0.0
2024-01-12 05:00:00+00:00,,,0.0
2024-01-12 17:00:00+00:00,,,0.0
2024-01-13 05:00:00+00:00,,,0.0
2024-01-13 17:00:00+00:00,,,0.0
2024-01-14 05:00:00+00:00,,,0.0
2024-01-14 17:00:00+00:00,,,0.0
2024-01-15 05:00:00+00:00,,,0.0
2024-01-15 17:00:00+00:00,,,0.0
2024-01-16 05:00:00+00:00,,,0.0
2024-01-16 17:00:00+00:00,,,0.0
2024-01-17 05:00:00+00:00,,,0.0
2024-01-17 17:00:00+00:00,,,0.0
2024-01-18 05:00:00+00:00,,,0.0
2024-01-18 17:00:00+00:00,,,0.0
2024-01-19 05:00:00+00:00,,,0.0
2024-01-19 17:00:00+00:00,,,0.0
2024-01-20 05:00:00+00:00,,,0.0
2024-01-20 17:00:00+00:00,,,0.0
2024-01-21 05:00:00+00:00,,,0.0
2024-01-21 17:00:00+00:00,,,0.0
2024-01-22 05:00:00+00:00,,,0.0
2024-01-22 17:00:00+00:00,,,0.0
